airfoil,re,alpha_deg,cl,cd,cm,confidence
s4110,50000.0,-6.0,-0.3924461235967357,0.07834712735570365,-0.00931438594437065,0.7841210045228649
s4110,50000.0,-5.75,-0.39227730780211745,0.07558502618350071,-0.007044540284907765,0.7536882271965822
s4110,50000.0,-5.5,-0.3902067442945405,0.07290665068727405,-0.004706127463650429,0.7091490528711272
s4110,50000.0,-5.25,-0.3872098905424266,0.07037036010604314,-0.002570070755102537,0.6456033514677921
s4110,50000.0,-5.0,-0.3833896346269405,0.06806557842956033,-0.0017026566649631229,0.5675653069650979
s4110,50000.0,-4.75,-0.37331746627128465,0.065086110436459,-0.005899984554058263,0.5013625358974051
s4110,50000.0,-4.5,-0.36025021662089324,0.05679178441570513,-0.020553868036024974,0.5130816768622228
s4110,50000.0,-4.25,-0.3298757039058422,0.04682891349530231,-0.03965647146596276,0.6637346971594821
s4110,50000.0,-4.0,-0.2786943523782733,0.04172835335581229,-0.05017428622332544,0.8410115209741397
s4110,50000.0,-3.75,-0.2437072479932798,0.03775150247717542,-0.05361733381101535,0.9273113488162982
s4110,50000.0,-3.5,-0.2191444852400306,0.03446503231362074,-0.05469728893515811,0.958629715516375
s4110,50000.0,-3.25,-0.197443400763796,0.0318558601653704,-0.05518565843266525,0.9708377123966092
s4110,50000.0,-3.0,-0.17531240396329098,0.029744790336298878,-0.05543851475711962,0.9761400637887848
s4110,50000.0,-2.75,-0.15144127808430785,0.02799461353321657,-0.055539587013385884,0.9782193021582543
s4110,50000.0,-2.5,-0.12588127544690544,0.026527563776869503,-0.055557872068690034,0.9783187228708471
s4110,50000.0,-2.25,-0.09943219659290807,0.02532191135293055,-0.05559032437355858,0.977199996936682
s4110,50000.0,-2.0,-0.07274981300567074,0.02434940422813169,-0.055759746617904796,0.975683522259589
s4110,50000.0,-1.75,-0.04639090407733159,0.023378694171773184,-0.055781230340069154,0.9740324625295188
s4110,50000.0,-1.5,-0.02412518468166832,0.021806319134463285,-0.054134557622240356,0.9709488486931103
s4110,50000.0,-1.25,-0.008492750892712156,0.020113013818747447,-0.05069560034580659,0.9669549146817655
s4110,50000.0,-1.0,0.009434842998564117,0.019655006263686492,-0.048572021854038035,0.9676094069251475
s4110,50000.0,-0.75,0.032222440714495315,0.0199920533558324,-0.04821395800425274,0.9703700428908423
s4110,50000.0,-0.5,0.05576774599728947,0.020489523579938815,-0.04831129848571373,0.9731757984132453
